Id,1. ¿De dónde nos visitas?,1.1 ¿De qué municipio del estado de Hidalgo perteneces?,2. ¿En qué rango de edad te encuentras?,"3. ¿Con qué género te identificas?
","4. ¿Con qué frecuencia realizas viajes dentro de México?
","5. ¿Cuántas veces ha visitado alguno de los destinos turísticos de Hidalgo en los últimos 24 meses?
","6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?
","6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?
 (Otro)",7. Los medios donde buscas inspiración para elegir destinos en Hidalgo.,7. Los medios donde buscas inspiración para elegir destinos en Hidalgo. (Otro),8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases:,8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases: (Otro),9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística?,9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística? (Otro),"10. En una escala del 1 al 5 donde 1 es Nada valioso y 5 es Muy valioso ¿Cómo sería para ti que una app turística te recomiende comercios y experiencias locales auténticas?
","11. De una escala del 1 al 5 donde 1 es Totalmente en desacuerdo y 5 es Totalmente de acuerdo. Indica que tanto estás de acuerdo con la siguiente frase:  ""Me sentiría más confiado/a usando una app turística si sé que las recomendaciones están validadas por personas locales o por una institución oficial.”
",12. ¿Qué tipo de información consideras más importante?,12. ¿Qué tipo de información consideras más importante? (Otro),13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar?,13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar? (Otro),"14. En una escala del 1 al 5,  donde 1 es nada probable y 5 muy probable. ¿Qué tan probable es que uses una app oficial del estado de Hidalgo para planear y vivir tus viajes?
",15. ¿Qué funciones consideras indispensables en una app de viajes?,15. ¿Qué funciones consideras indispensables en una app de viajes? (Otro),16. ¿Qué haría que dejaras de usar una app turística? (Selecciona 3 opciones),"17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?
","17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?
 (Otro)"
721,Estado de México,,18–29 años,Hombre,Varias veces al año,1 vez,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Falta de información en el momento exacto,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Información real,
722,Ciudad de México,,18–29 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,,Google,,Me ayudan a ahorrar tiempo,,Fotos reales,,2,3,Seguridad,,Recomendaciones poco confiables,,Poco probable,Rutas sugeridas,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Ninguna,
723,Ciudad de México,,30–39 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Que sea una herramienta útil ,
724,Veracruz,,30–39 años,Mujer,Esporádicamente,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Cercanía / ubicación,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso",Que fuera confiable y segura ,
725,Guerrero,,50–59 años,Hombre,Una vez al año,1 vez,Descanso / relajación,,Recomendaciones de amigos / familia,,La información suele ser clara y actualizada,,Opiniones de otros usuarios,,5,3,Mapas y rutas,,Recomendaciones poco confiables,,Neutral,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Que sea buena,
726,Ciudad de México,,18–29 años,Hombre,Una vez al año,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,4,Mapas y rutas,,Poca visibilidad de comercios locales,,Probable,Recomendaciones locales confiables,,"Mala experiencia de uso, Falta de valor real, Exceso de publicidad",Que sea accesible y verídica,
727,Ciudad de México,,40–49 años,Hombre,Esporádicamente,2 veces,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,3,3,Horarios actualizados,,Información desactualizada,,Neutral,Información verificada,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Ninguna,
728,Hidalgo,Pachuca de Soto,40–49 años,Hombre,Esporádicamente,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Que no parezca patrocinada,,5,5,Mapas y rutas,,Información desactualizada,,Poco probable,Información verificada,,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso",Que fuera de fácil acceso y cómoda ,
729,Hidalgo,Tianguistengo,30–39 años,Mujer,Esporádicamente,4 veces o más,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Poco probable,Recomendaciones locales confiables,,"Información falsa o incompleta, No confiar en las recomendaciones, Falta de valor real",Que sea confiable y segura ,
730,Hidalgo,Mineral de la Reforma,40–49 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Evito apps que parecen publicidad disfrazada,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, No confiar en las recomendaciones",Veracidad ,
731,Guerrero,,30–39 años,Hombre,Varias veces al año,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,3,3,Horarios actualizados,,Poca visibilidad de comercios locales,,Nada probable,Información verificada,,Información falsa o incompleta,Que funcione con facilidad ,
732,Estado de México,,18–29 años,Hombre,Una vez al año,2 veces,Cultura / Historia,,Redes sociales,,Confío en sus recomendaciones,,Precio,,4,4,Horarios actualizados,,Información desactualizada,,Probable,Información verificada,,Exceso de publicidad,Confiabilidad ,
733,Tlaxcala,,18–29 años,Hombre,Muy rara vez,2 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Demasiadas opciones sin guía,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Buenas sugerencias,
734,Hidalgo,Tepeapulco,30–39 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,4,Mapas y rutas,,Demasiadas opciones sin guía,,Probable,Comercios y servicios cercanos,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",,
735,Tamaulipas,,40–49 años,Hombre,Esporádicamente,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Exceso de publicidad, Información falsa o incompleta, Mala experiencia de uso","Que tenga información clara, segura que no influya los patrocinadores y para diferentes tipos por ejemplo familiar, aventura etc",
736,Estado de México,,50–59 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,4,Mapas y rutas,,Recomendaciones poco confiables,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",,
737,Hidalgo,Pachuca de Soto,18–29 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,4,Horarios actualizados,,Poca visibilidad de comercios locales,,Probable,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Actualización ,
738,Hidalgo,Huasca de Ocampo,18–29 años,Hombre,Esporádicamente,4 veces o más,4 veces o más,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,4,Mapas y rutas,,Recomendaciones poco confiables,,Probable,Recomendaciones locales confiables,,Exceso de publicidad,Buena y confiable ,
739,Estado de México,,40–49 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,,Google,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Demasiadas opciones sin guía,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real",,
740,Hidalgo,Huasca de Ocampo,18–29 años,Mujer,Varias veces al año,3 veces,Naturaleza,,Google,,Evito apps que parecen publicidad disfrazada,,Opiniones de otros usuarios,,4,5,Mapas y rutas,,Poca visibilidad de comercios locales,,Neutral,Comercios y servicios cercanos,,Exceso de publicidad,Fácil y confiable ,
741,Estado de México,,30–39 años,Mujer,Esporádicamente,2 veces,Descanso / relajación,,Redes sociales,,Confío en sus recomendaciones,,Fotos reales,,4,3,Mapas y rutas,,Información desactualizada,,Probable,Uso sin conexión,,"Mala experiencia de uso, Falta de valor real",,
742,Ciudad de México,,18–29 años,Mujer,Una vez al año,3 veces,Gastronomía,,Redes sociales,,Me generan seguridad para tomar decisiones,,Opiniones de otros usuarios,,5,5,Recomendaciones cercanas,,Información desactualizada,,Muy probable,Información verificada,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real",,
743,Veracruz,,50–59 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,3,3,Mapas y rutas,,Información desactualizada,,Poco probable,Rutas sugeridas,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Veracidad ,
744,Baja California,,18–29 años,Hombre,Una vez al año,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Confiable,
745,Item 18,,30–39 años,Hombre,Varias veces al año,1 vez,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Poco probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Información real,
746,Estado de México,,30–39 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Fácil de  usar,
747,Hidalgo,Atotonilco el Grande,40–49 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Mala experiencia de uso, Información falsa o incompleta, Falta de valor real",Que sea confiable ,
748,Hidalgo,Pachuca de Soto,30–39 años,Hombre,Esporádicamente,2 veces,4 veces o más,,Apps de viaje,,Me generan seguridad para tomar decisiones,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso",Que sea segura y confiable,
749,Ciudad de México,,60 años o más,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Accesibilidad ,
750,Ciudad de México,,18–29 años,Mujer,Varias veces al año,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Recomendaciones cercanas,,Demasiadas opciones sin guía,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real","Que proporcionen información confiable, detallada , real de las atracciones ",
751,Estado de México,,18–29 años,Hombre,Varias veces al año,2 veces,Descanso / relajación,,Recomendaciones de amigos / familia (otro: Trabajo),,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,5,Seguridad,,Falta de información en el momento exacto,,Probable,Uso sin conexión,,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones","Que sea real, actualuzada",
752,Ciudad de México,,18–29 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Google,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,4,4,Información offline,,Recomendaciones poco confiables,,Probable,Información verificada,,"Exceso de publicidad, Mala experiencia de uso, Falta de valor real",Recomendaciones verídicas y no por temas de marketing,
753,Estado de México,,18–29 años,Mujer,Varias veces al año,1 vez,Gastronomía,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Neutral,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones",,
754,Guanajuato,,18–29 años,Hombre,Una vez al año,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Seguridad,
755,Hidalgo,Actopan,30–39 años,Hombre,Esporádicamente,4 veces o más,Naturaleza,,Recomendaciones de amigos / familia,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Mapas y rutas,,Información desactualizada,,Neutral,Recomendaciones locales confiables,,Exceso de publicidad,Amigable para manejar,
756,Ciudad de México,,30–39 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Mala experiencia de uso, Información falsa o incompleta, No confiar en las recomendaciones",Que sea útil la app,
757,Ciudad de México,,30–39 años,Hombre,Esporádicamente,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Que sea una herramienta útil ,
758,Hidalgo,Cuautepec de Hinojosa,30–39 años,Mujer,Varias veces al año,4 veces o más,Naturaleza,,Recomendaciones de amigos / familia,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,4,5,Mapas y rutas,,Información desactualizada,,Probable,Rutas sugeridas,,Información falsa o incompleta,Sin palabras ,
759,Veracruz,,30–39 años,Hombre,Esporádicamente,1 vez,4 veces o más,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, No confiar en las recomendaciones, Mala experiencia de uso",Que sea confiable y segura,
760,Hidalgo,Apan,30–39 años,Hombre,Esporádicamente,1 vez,4 veces o más,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,5,Recomendaciones cercanas,,Falta de información en el momento exacto,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",,
761,Querétaro,,60 años o más,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,5,4,Mapas y rutas,,Demasiadas opciones sin guía,,Muy probable,Eventos y experiencias locales,,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Sea verídica ,
762,Ciudad de México,,18–29 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Falta de valor real, No confiar en las recomendaciones",Que tenga información verídica ,
763,Hidalgo,Tulancingo de Bravo,18–29 años,Hombre,Varias veces al año,3 veces,Aventura,,Google,,Me ayudan a ahorrar tiempo,,Opiniones de otros usuarios,,5,5,Mapas y rutas,,Información desactualizada,,Muy probable,Recomendaciones locales confiables,,"Exceso de publicidad, Mala experiencia de uso, Falta de valor real",Imágenes fotos y precios paisajes,
764,Ciudad de México,,60 años o más,Mujer,Varias veces al año,2 veces,Naturaleza,,Redes sociales,,Me ayudan a ahorrar tiempo,,Precio,,5,5,Mapas y rutas,,Información desactualizada,,Probable,Rutas sugeridas,,"Exceso de publicidad, Mala experiencia de uso, No confiar en las recomendaciones",Precio comida y hoteles transporte ,
765,Sinaloa,,60 años o más,Mujer,Varias veces al año,1 vez,Descanso / relajación,,Apps de viaje,,Me ayudan a ahorrar tiempo,,Recomendación local,,5,5,Mapas y rutas,,Recomendaciones poco confiables,,Muy probable,Rutas sugeridas,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confiable ,
766,Guerrero,,50–59 años,Mujer,Una vez al año,1 vez,Descanso / relajación,,Redes sociales,,Confío en sus recomendaciones,,Opiniones de otros usuarios,,4,3,Mapas y rutas,,Falta de información en el momento exacto,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real, No confiar en las recomendaciones",Que realmente me convenza lo que ofrece,
767,Estado de México,,30–39 años,Hombre,Varias veces al año,,Cultura / Historia,,Redes sociales,,Evito apps que parecen publicidad disfrazada,,Fotos reales,,5,5,Mapas y rutas,,Falta de información en el momento exacto,,Probable,Recomendaciones locales confiables,,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",Informacion reelevante,
768,Estado de México,,50–59 años,Mujer,Muy rara vez,1 vez,Descanso / relajación,,Redes sociales,,Confío en sus recomendaciones,,Fotos reales,,5,5,Mapas y rutas,,Recomendaciones poco confiables,,Neutral,Uso sin conexión,,"Exceso de publicidad, Falta de valor real, No confiar en las recomendaciones",,
769,Estado de México,,18–29 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,,Redes sociales,,Me ayudan a ahorrar tiempo,,Fotos reales,,2,4,Mapas y rutas,,Información desactualizada,,Neutral,Recomendaciones locales confiables,,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Ninguna,
